# id|modelPath|fallbackSize|fallbackColor|metadata(optional: type=...;origin=...;render=...;collisionProfile=...;cameraBlocks=...;requiresClosedMesh=...;maxHeight=...;tags=a,b)
# Art-direction pivot 2026-05: target is stylized mid-poly (early PS3/late PS2 readability with modelled detail, beveled/chamfered edges, material identity). Hero assets should move toward .gltf with authored geometry. Simple props keep .obj.
block13_core|models/block13_core.obj|1,1,1|132,137,128|type=SolidBuilding;usage=active;origin=bottom_center;render=Opaque;collisionProfile=SolidWorld;cameraBlocks=true;requiresClosedMesh=true;allowOpenEdges=false;tags=building,block,hero_asset,midpoly_target
shop_zenona|models/shop_zenona.obj|1,1,1|96,158,93|type=DebugOnly;usage=legacy;origin=bottom_center;render=DebugOnly;collision=None;renderInGameplay=false;allowOpenEdges=true;tags=legacy,shop
shop_zenona_v2|models/shop_zenona_v2.obj|1,1,1|96,158,93|type=DebugOnly;usage=legacy;origin=bottom_center;render=DebugOnly;collision=None;renderInGameplay=false;allowOpenEdges=true;tags=legacy,shop
shop_zenona_v3|models/shop_zenona_v3.obj|1,1,1|96,158,93|type=SolidBuilding;origin=bottom_center;render=Opaque;collisionProfile=SolidWorld;cameraBlocks=true;requiresClosedMesh=true;allowOpenEdges=false;tags=building,shop,hero_asset,midpoly_target
parking_surface|models/parking_surface.obj|1,1,1|68,68,64|type=SolidProp;origin=bottom_center;render=Opaque;collision=Ground;tags=surface,parking,midpoly_target
road_asphalt|models/road_asphalt.obj|1,1,1|43,43,42|type=SolidProp;origin=bottom_center;render=Opaque;collision=Ground;tags=surface,road,midpoly_target
garage_row|models/garage_row.obj|1,1,1|83,88,95|type=DebugOnly;usage=legacy;origin=bottom_center;render=DebugOnly;collision=None;renderInGameplay=false;allowOpenEdges=true;tags=legacy,garage
garage_row_v2|models/garage_row_v2.obj|1,1,1|83,88,95|type=SolidProp;usage=active;origin=bottom_center;render=Opaque;collisionProfile=SolidWorld;cameraBlocks=true;tags=garage,hero_asset,midpoly_target
trash_shelter|models/trash_shelter.obj|1,1,1|92,87,83|type=SolidProp;origin=bottom_center;render=Opaque;collision=Prop;cameraBlocks=false;tags=prop,trash,midpoly_target
concrete_barrier|models/concrete_barrier.obj|1,1,1|89,91,88|type=SolidProp;origin=bottom_center;render=Opaque;collision=Prop;cameraBlocks=false;tags=prop,barrier,midpoly_target
boundary_wall|models/boundary_wall.obj|1,1,1|72,80,70|type=SolidProp;origin=bottom_center;render=Opaque;collisionProfile=SolidWorld;cameraBlocks=true;tags=wall,boundary
curb_ramp|models/curb_ramp.obj|1,1,1|120,120,112|type=SolidProp;origin=bottom_center;render=Opaque;collision=Ground;cameraBlocks=false;tags=surface,curb,midpoly_target
notice_board|models/notice_board.obj|1,1,1|232,230,206|type=SolidProp;origin=bottom_center;render=Opaque;collision=None;cameraBlocks=false;tags=prop,story,midpoly_target
bench|models/bench.obj|1,1,1|231,213,84|type=SolidProp;usage=active;origin=bottom_center;render=Opaque;collision=Prop;allowOpenEdges=false;tags=prop,seating,midpoly_target
